id,status,x,y
104,Status.Hold,2.31690135134667,-3.789284912820482
105,Status.Hold,1.9421754439912313,-3.3047291010725415
106,Status.Hold,4.232631562318478,-1.77828174843255
107,Status.Hold,0.5650351092519844,-5.660284682532607
108,Status.Hold,3.809802807325972,2.5267345420540273
109,Status.Hold,1.7843280326133864,3.6363835389249544
110,Status.Hold,1.241307337166219,4.975397950028734
111,Status.Hold,0.9975892895806757,-3.5915695980378524
112,Status.Hold,2.7806685032196845,2.1913553544919586
113,Status.Hold,5.038698900944956,-2.0767416389049886
114,Status.Dis,2.91564379566602,-3.252642531100817
115,Status.Hold,4.021902812094357,2.001337910690691
116,Status.Hold,3.1043304557533418,-3.84250556742606
117,Status.Hold,4.070449503232209,1.7603569718857213
118,Status.Hold,3.2339821224220904,-3.3784843919160608
