scientificName,vernacularName,phylum,class,order,family,WebLink,degreeOfEstablishment
Ligustrum ovalifolium,California privet,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,https://plants.usda.gov/home/plantProfile?symbol=LIOV,widespread invasive (category E)
Ligustrum vulgare,European privet,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,https://plants.usda.gov/home/plantProfile?symbol=LIVU,widespread invasive (category E)
Lolium multiflorum,Annual ryegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=LOPEM2,widespread invasive (category E)
Lolium perenne,Perennial ryegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=LOPE,widespread invasive (category E)
Lolium rigidum,Wimmera ryegrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=LORI,invasive (category D2)
Lonicera japonica,Japanese honeysuckle,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,https://plants.usda.gov/home/plantProfile?symbol=LOJA,widespread invasive (category E)
Lonicera maackii,Amur honeysuckle,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,https://plants.usda.gov/home/plantProfile?symbol=LOMA6,widespread invasive (category E)
Lonicera tatarica,Tatarian honeysuckle,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,https://plants.usda.gov/home/plantProfile?symbol=LOTA,widespread invasive (category E)
Lotus corniculatus,Garden bird's-foot-trefoil,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LOCO6,widespread invasive (category E)
Lotus uliginosus,Big trefoil,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LOPE80,invasive (category D2)
Lupinus angustifolius,Narrowleaf lupine,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LUAN4,invasive (category D2)
Lupinus luteus,European yellow lupine,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=LULU80,invasive (category D2)
Mangifera indica,Mango,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,https://plants.usda.gov/home/plantProfile?symbol=MAIN3,widespread invasive (category E)
Manihot esculenta,Cassava,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,https://plants.usda.gov/home/plantProfile?symbol=MAES,widespread invasive (category E)
Manilkara zapota,Sapodilla,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,https://plants.usda.gov/home/plantProfile?symbol=MAZA,invasive (category D2)
Medicago lupulina,Black medick,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MELU,widespread invasive (category E)
Medicago polymorpha,Burclover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MEPO3,widespread invasive (category E)
Medicago sativa,Alfalfa,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MESA,widespread invasive (category E)
Megathyrsus maximus,Guineagrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=URMA3,widespread invasive (category E)
Melia azedarach,Chinaberrytree,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,https://plants.usda.gov/home/plantProfile?symbol=MEAZ,widespread invasive (category E)
Melicoccus bijugatus,Spanish lime,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,https://plants.usda.gov/home/plantProfile?symbol=MEBI,invasive (category D2)
Melilotus indicus,Annual yellow sweetclover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MEIN2,widespread invasive (category E)
Melilotus officinalis,Sweetclover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MEOF,widespread invasive (category E)
Miscanthus sinensis,Chinese silvergrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=MISI,widespread invasive (category E)
Morinda citrifolia,Indian mulberry,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,https://plants.usda.gov/home/plantProfile?symbol=MOCI3,invasive (category D2)
Morus alba,White mulberry,Tracheophyta,Magnoliopsida,Rosales,Moraceae,https://plants.usda.gov/home/plantProfile?symbol=MOAL,widespread invasive (category E)
Myosotis scorpioides,True forget-me-not,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,https://plants.usda.gov/home/plantProfile?symbol=MYSC,widespread invasive (category E)
Najas minor,Brittle waternymph,Tracheophyta,Magnoliopsida,Alismatales,Hydrocharitaceae,https://plants.usda.gov/home/plantProfile?symbol=NAMI,widespread invasive (category E)
Nandina domestica,Sacred bamboo,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,https://plants.usda.gov/home/plantProfile?symbol=NADO,widespread invasive (category E)
Nerium oleander,Oleander,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,https://plants.usda.gov/home/plantProfile?symbol=NEOL,widespread invasive (category E)
Onobrychis viciifolia,Sainfoin legume,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=ONVI,widespread invasive (category E)
Opuntia ficus-indica,Barbary fig,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,https://plants.usda.gov/home/plantProfile?symbol=OPFI,widespread invasive (category E)
Panicum antidotale,Blue panicum,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PAAN4,invasive (category D2)
Panicum coloratum,Kleingrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PACO2,invasive (category D2)
Panicum miliaceum,Proso millet,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PAMI2,widespread invasive (category E)
Parthenocissus tricuspidata,Boston ivy,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,https://plants.usda.gov/home/plantProfile?symbol=PATR6,widespread invasive (category E)
Paspalum dilatatum,Dallisgrass,Tracheophyta,Magnoliopsida,Poales,Poaceae,https://plants.usda.gov/home/plantProfile?symbol=PADI3,widespread invasive (category E)
